config_name,profile,butterfly_width,center_spacing,target_total_coverage,max_adjustments_per_week,min_hold_trading_days,max_hold_trading_days,weekly_range_width_threshold_pct,weekly_trend_slope_threshold_pct,weekly_momentum_threshold_pct,breakout_buffer_pct,symbol,decision_timeframe,net_modeled_pnl,net_dollar_pnl,return_on_capital,max_gross_deployment_dollars,worst_day_pnl_dollars,worst_week_pnl_dollars,profit_factor_by_closed_layer,profit_factor_by_week,weekly_occupancy_rate,avg_adjustments_per_week,weeks_traded,weeks_aborted,max_active_butterflies,closed_layers,winning_layers,losing_layers,metric_definitions
xloose_w100_s125_h4-7_adj0,xloose,100.0,125.0,450.0,0,4,7,0.1,0.025,0.018,0.006,SPX,30 mins,-3308.4,-330840.0,-3.3084,6616.8,-6616.8,-6616.8,0.0,0.0,0.0,0.0,50,21,3,150,0,150,"{'net_modeled_pnl': 'Final modeled weekly corridor equity in model points after friction.', 'net_dollar_pnl': 'net_modeled_pnl * option_multiplier * contracts_per_layer.', 'return_on_capital': 'net_dollar_pnl / starting_capital.', 'max_gross_deployment_dollars': 'Peak active layer entry cost sum converted to dollars.', 'worst_day_pnl_dollars': 'Minimum grouped daily bar_pnl converted to dollars.', 'worst_week_pnl_dollars': 'Minimum grouped week bar_pnl converted to dollars.', 'profit_factor_by_closed_layer': 'Gross winner realized_pnl divided by absolute gross loser realized_pnl.', 'profit_factor_by_week': 'Gross positive weekly modeled pnl divided by absolute gross negative weekly modeled pnl.', 'weekly_occupancy_rate': 'Share of bars where price stayed inside the active butterfly corridor span.', 'avg_adjustments_per_week': 'ADD_ADJUSTMENT action count / weeks_traded.', 'weeks_traded': 'Distinct week_key count with DEPLOY_INITIAL actions.', 'weeks_aborted': 'Distinct week_key count with ABORT actions.', 'max_active_butterflies': 'Maximum concurrent active weekly butterflies observed in the equity curve.'}"
xloose_w100_s125_h4-6_adj0,xloose,100.0,125.0,450.0,0,4,6,0.1,0.025,0.018,0.006,SPX,30 mins,-3308.4,-330840.0,-3.3084,6616.8,-6616.8,-6616.8,0.0,0.0,0.0,0.0,50,21,3,150,0,150,"{'net_modeled_pnl': 'Final modeled weekly corridor equity in model points after friction.', 'net_dollar_pnl': 'net_modeled_pnl * option_multiplier * contracts_per_layer.', 'return_on_capital': 'net_dollar_pnl / starting_capital.', 'max_gross_deployment_dollars': 'Peak active layer entry cost sum converted to dollars.', 'worst_day_pnl_dollars': 'Minimum grouped daily bar_pnl converted to dollars.', 'worst_week_pnl_dollars': 'Minimum grouped week bar_pnl converted to dollars.', 'profit_factor_by_closed_layer': 'Gross winner realized_pnl divided by absolute gross loser realized_pnl.', 'profit_factor_by_week': 'Gross positive weekly modeled pnl divided by absolute gross negative weekly modeled pnl.', 'weekly_occupancy_rate': 'Share of bars where price stayed inside the active butterfly corridor span.', 'avg_adjustments_per_week': 'ADD_ADJUSTMENT action count / weeks_traded.', 'weeks_traded': 'Distinct week_key count with DEPLOY_INITIAL actions.', 'weeks_aborted': 'Distinct week_key count with ABORT actions.', 'max_active_butterflies': 'Maximum concurrent active weekly butterflies observed in the equity curve.'}"
loose_w125_s75_h3-5_adj0,loose,125.0,75.0,400.0,0,3,5,0.085,0.02,0.014,0.004,SPX,30 mins,-3968.064,-396806.4,-3.968064,8266.8,-8266.8,-8266.8,0.0,0.0,0.0,0.0,48,30,3,144,0,144,"{'net_modeled_pnl': 'Final modeled weekly corridor equity in model points after friction.', 'net_dollar_pnl': 'net_modeled_pnl * option_multiplier * contracts_per_layer.', 'return_on_capital': 'net_dollar_pnl / starting_capital.', 'max_gross_deployment_dollars': 'Peak active layer entry cost sum converted to dollars.', 'worst_day_pnl_dollars': 'Minimum grouped daily bar_pnl converted to dollars.', 'worst_week_pnl_dollars': 'Minimum grouped week bar_pnl converted to dollars.', 'profit_factor_by_closed_layer': 'Gross winner realized_pnl divided by absolute gross loser realized_pnl.', 'profit_factor_by_week': 'Gross positive weekly modeled pnl divided by absolute gross negative weekly modeled pnl.', 'weekly_occupancy_rate': 'Share of bars where price stayed inside the active butterfly corridor span.', 'avg_adjustments_per_week': 'ADD_ADJUSTMENT action count / weeks_traded.', 'weeks_traded': 'Distinct week_key count with DEPLOY_INITIAL actions.', 'weeks_aborted': 'Distinct week_key count with ABORT actions.', 'max_active_butterflies': 'Maximum concurrent active weekly butterflies observed in the equity curve.'}"
loose_w125_s100_h3-5_adj0,loose,125.0,100.0,450.0,0,3,5,0.085,0.02,0.014,0.004,SPX,30 mins,-3968.064,-396806.4,-3.968064,8266.8,-8266.8,-8266.8,0.0,0.0,0.0,0.0,48,30,3,144,0,144,"{'net_modeled_pnl': 'Final modeled weekly corridor equity in model points after friction.', 'net_dollar_pnl': 'net_modeled_pnl * option_multiplier * contracts_per_layer.', 'return_on_capital': 'net_dollar_pnl / starting_capital.', 'max_gross_deployment_dollars': 'Peak active layer entry cost sum converted to dollars.', 'worst_day_pnl_dollars': 'Minimum grouped daily bar_pnl converted to dollars.', 'worst_week_pnl_dollars': 'Minimum grouped week bar_pnl converted to dollars.', 'profit_factor_by_closed_layer': 'Gross winner realized_pnl divided by absolute gross loser realized_pnl.', 'profit_factor_by_week': 'Gross positive weekly modeled pnl divided by absolute gross negative weekly modeled pnl.', 'weekly_occupancy_rate': 'Share of bars where price stayed inside the active butterfly corridor span.', 'avg_adjustments_per_week': 'ADD_ADJUSTMENT action count / weeks_traded.', 'weeks_traded': 'Distinct week_key count with DEPLOY_INITIAL actions.', 'weeks_aborted': 'Distinct week_key count with ABORT actions.', 'max_active_butterflies': 'Maximum concurrent active weekly butterflies observed in the equity curve.'}"
loose_w125_s125_h3-5_adj0,loose,125.0,125.0,500.0,0,3,5,0.085,0.02,0.014,0.004,SPX,30 mins,-3968.064,-396806.4,-3.968064,8266.8,-8266.8,-8266.8,0.0,0.0,0.0,0.0,48,30,3,144,0,144,"{'net_modeled_pnl': 'Final modeled weekly corridor equity in model points after friction.', 'net_dollar_pnl': 'net_modeled_pnl * option_multiplier * contracts_per_layer.', 'return_on_capital': 'net_dollar_pnl / starting_capital.', 'max_gross_deployment_dollars': 'Peak active layer entry cost sum converted to dollars.', 'worst_day_pnl_dollars': 'Minimum grouped daily bar_pnl converted to dollars.', 'worst_week_pnl_dollars': 'Minimum grouped week bar_pnl converted to dollars.', 'profit_factor_by_closed_layer': 'Gross winner realized_pnl divided by absolute gross loser realized_pnl.', 'profit_factor_by_week': 'Gross positive weekly modeled pnl divided by absolute gross negative weekly modeled pnl.', 'weekly_occupancy_rate': 'Share of bars where price stayed inside the active butterfly corridor span.', 'avg_adjustments_per_week': 'ADD_ADJUSTMENT action count / weeks_traded.', 'weeks_traded': 'Distinct week_key count with DEPLOY_INITIAL actions.', 'weeks_aborted': 'Distinct week_key count with ABORT actions.', 'max_active_butterflies': 'Maximum concurrent active weekly butterflies observed in the equity curve.'}"
loose_w125_s75_h4-7_adj0,loose,125.0,75.0,400.0,0,4,7,0.085,0.02,0.014,0.004,SPX,30 mins,-3968.064,-396806.4,-3.968064,8266.8,-8266.8,-8266.8,0.0,0.0,0.0,0.0,48,32,3,144,0,144,"{'net_modeled_pnl': 'Final modeled weekly corridor equity in model points after friction.', 'net_dollar_pnl': 'net_modeled_pnl * option_multiplier * contracts_per_layer.', 'return_on_capital': 'net_dollar_pnl / starting_capital.', 'max_gross_deployment_dollars': 'Peak active layer entry cost sum converted to dollars.', 'worst_day_pnl_dollars': 'Minimum grouped daily bar_pnl converted to dollars.', 'worst_week_pnl_dollars': 'Minimum grouped week bar_pnl converted to dollars.', 'profit_factor_by_closed_layer': 'Gross winner realized_pnl divided by absolute gross loser realized_pnl.', 'profit_factor_by_week': 'Gross positive weekly modeled pnl divided by absolute gross negative weekly modeled pnl.', 'weekly_occupancy_rate': 'Share of bars where price stayed inside the active butterfly corridor span.', 'avg_adjustments_per_week': 'ADD_ADJUSTMENT action count / weeks_traded.', 'weeks_traded': 'Distinct week_key count with DEPLOY_INITIAL actions.', 'weeks_aborted': 'Distinct week_key count with ABORT actions.', 'max_active_butterflies': 'Maximum concurrent active weekly butterflies observed in the equity curve.'}"
loose_w125_s75_h4-6_adj0,loose,125.0,75.0,400.0,0,4,6,0.085,0.02,0.014,0.004,SPX,30 mins,-3968.064,-396806.4,-3.968064,8266.8,-8266.8,-8266.8,0.0,0.0,0.0,0.0,48,32,3,144,0,144,"{'net_modeled_pnl': 'Final modeled weekly corridor equity in model points after friction.', 'net_dollar_pnl': 'net_modeled_pnl * option_multiplier * contracts_per_layer.', 'return_on_capital': 'net_dollar_pnl / starting_capital.', 'max_gross_deployment_dollars': 'Peak active layer entry cost sum converted to dollars.', 'worst_day_pnl_dollars': 'Minimum grouped daily bar_pnl converted to dollars.', 'worst_week_pnl_dollars': 'Minimum grouped week bar_pnl converted to dollars.', 'profit_factor_by_closed_layer': 'Gross winner realized_pnl divided by absolute gross loser realized_pnl.', 'profit_factor_by_week': 'Gross positive weekly modeled pnl divided by absolute gross negative weekly modeled pnl.', 'weekly_occupancy_rate': 'Share of bars where price stayed inside the active butterfly corridor span.', 'avg_adjustments_per_week': 'ADD_ADJUSTMENT action count / weeks_traded.', 'weeks_traded': 'Distinct week_key count with DEPLOY_INITIAL actions.', 'weeks_aborted': 'Distinct week_key count with ABORT actions.', 'max_active_butterflies': 'Maximum concurrent active weekly butterflies observed in the equity curve.'}"
loose_w125_s100_h4-7_adj0,loose,125.0,100.0,450.0,0,4,7,0.085,0.02,0.014,0.004,SPX,30 mins,-3968.064,-396806.4,-3.968064,8266.8,-8266.8,-8266.8,0.0,0.0,0.0,0.0,48,32,3,144,0,144,"{'net_modeled_pnl': 'Final modeled weekly corridor equity in model points after friction.', 'net_dollar_pnl': 'net_modeled_pnl * option_multiplier * contracts_per_layer.', 'return_on_capital': 'net_dollar_pnl / starting_capital.', 'max_gross_deployment_dollars': 'Peak active layer entry cost sum converted to dollars.', 'worst_day_pnl_dollars': 'Minimum grouped daily bar_pnl converted to dollars.', 'worst_week_pnl_dollars': 'Minimum grouped week bar_pnl converted to dollars.', 'profit_factor_by_closed_layer': 'Gross winner realized_pnl divided by absolute gross loser realized_pnl.', 'profit_factor_by_week': 'Gross positive weekly modeled pnl divided by absolute gross negative weekly modeled pnl.', 'weekly_occupancy_rate': 'Share of bars where price stayed inside the active butterfly corridor span.', 'avg_adjustments_per_week': 'ADD_ADJUSTMENT action count / weeks_traded.', 'weeks_traded': 'Distinct week_key count with DEPLOY_INITIAL actions.', 'weeks_aborted': 'Distinct week_key count with ABORT actions.', 'max_active_butterflies': 'Maximum concurrent active weekly butterflies observed in the equity curve.'}"
loose_w125_s100_h4-6_adj0,loose,125.0,100.0,450.0,0,4,6,0.085,0.02,0.014,0.004,SPX,30 mins,-3968.064,-396806.4,-3.968064,8266.8,-8266.8,-8266.8,0.0,0.0,0.0,0.0,48,32,3,144,0,144,"{'net_modeled_pnl': 'Final modeled weekly corridor equity in model points after friction.', 'net_dollar_pnl': 'net_modeled_pnl * option_multiplier * contracts_per_layer.', 'return_on_capital': 'net_dollar_pnl / starting_capital.', 'max_gross_deployment_dollars': 'Peak active layer entry cost sum converted to dollars.', 'worst_day_pnl_dollars': 'Minimum grouped daily bar_pnl converted to dollars.', 'worst_week_pnl_dollars': 'Minimum grouped week bar_pnl converted to dollars.', 'profit_factor_by_closed_layer': 'Gross winner realized_pnl divided by absolute gross loser realized_pnl.', 'profit_factor_by_week': 'Gross positive weekly modeled pnl divided by absolute gross negative weekly modeled pnl.', 'weekly_occupancy_rate': 'Share of bars where price stayed inside the active butterfly corridor span.', 'avg_adjustments_per_week': 'ADD_ADJUSTMENT action count / weeks_traded.', 'weeks_traded': 'Distinct week_key count with DEPLOY_INITIAL actions.', 'weeks_aborted': 'Distinct week_key count with ABORT actions.', 'max_active_butterflies': 'Maximum concurrent active weekly butterflies observed in the equity curve.'}"
loose_w125_s125_h4-7_adj0,loose,125.0,125.0,500.0,0,4,7,0.085,0.02,0.014,0.004,SPX,30 mins,-3968.064,-396806.4,-3.968064,8266.8,-8266.8,-8266.8,0.0,0.0,0.0,0.0,48,32,3,144,0,144,"{'net_modeled_pnl': 'Final modeled weekly corridor equity in model points after friction.', 'net_dollar_pnl': 'net_modeled_pnl * option_multiplier * contracts_per_layer.', 'return_on_capital': 'net_dollar_pnl / starting_capital.', 'max_gross_deployment_dollars': 'Peak active layer entry cost sum converted to dollars.', 'worst_day_pnl_dollars': 'Minimum grouped daily bar_pnl converted to dollars.', 'worst_week_pnl_dollars': 'Minimum grouped week bar_pnl converted to dollars.', 'profit_factor_by_closed_layer': 'Gross winner realized_pnl divided by absolute gross loser realized_pnl.', 'profit_factor_by_week': 'Gross positive weekly modeled pnl divided by absolute gross negative weekly modeled pnl.', 'weekly_occupancy_rate': 'Share of bars where price stayed inside the active butterfly corridor span.', 'avg_adjustments_per_week': 'ADD_ADJUSTMENT action count / weeks_traded.', 'weeks_traded': 'Distinct week_key count with DEPLOY_INITIAL actions.', 'weeks_aborted': 'Distinct week_key count with ABORT actions.', 'max_active_butterflies': 'Maximum concurrent active weekly butterflies observed in the equity curve.'}"
loose_w125_s125_h4-6_adj0,loose,125.0,125.0,500.0,0,4,6,0.085,0.02,0.014,0.004,SPX,30 mins,-3968.064,-396806.4,-3.968064,8266.8,-8266.8,-8266.8,0.0,0.0,0.0,0.0,48,32,3,144,0,144,"{'net_modeled_pnl': 'Final modeled weekly corridor equity in model points after friction.', 'net_dollar_pnl': 'net_modeled_pnl * option_multiplier * contracts_per_layer.', 'return_on_capital': 'net_dollar_pnl / starting_capital.', 'max_gross_deployment_dollars': 'Peak active layer entry cost sum converted to dollars.', 'worst_day_pnl_dollars': 'Minimum grouped daily bar_pnl converted to dollars.', 'worst_week_pnl_dollars': 'Minimum grouped week bar_pnl converted to dollars.', 'profit_factor_by_closed_layer': 'Gross winner realized_pnl divided by absolute gross loser realized_pnl.', 'profit_factor_by_week': 'Gross positive weekly modeled pnl divided by absolute gross negative weekly modeled pnl.', 'weekly_occupancy_rate': 'Share of bars where price stayed inside the active butterfly corridor span.', 'avg_adjustments_per_week': 'ADD_ADJUSTMENT action count / weeks_traded.', 'weeks_traded': 'Distinct week_key count with DEPLOY_INITIAL actions.', 'weeks_aborted': 'Distinct week_key count with ABORT actions.', 'max_active_butterflies': 'Maximum concurrent active weekly butterflies observed in the equity curve.'}"
xxloose_w125_s75_h3-5_adj0,xxloose,125.0,75.0,400.0,0,3,5,0.12,0.03,0.022,0.008,SPX,30 mins,-4133.4,-413340.0,-4.1334,8266.8,-8266.8,-8266.8,0.0,0.0,0.0,0.0,50,12,3,150,0,150,"{'net_modeled_pnl': 'Final modeled weekly corridor equity in model points after friction.', 'net_dollar_pnl': 'net_modeled_pnl * option_multiplier * contracts_per_layer.', 'return_on_capital': 'net_dollar_pnl / starting_capital.', 'max_gross_deployment_dollars': 'Peak active layer entry cost sum converted to dollars.', 'worst_day_pnl_dollars': 'Minimum grouped daily bar_pnl converted to dollars.', 'worst_week_pnl_dollars': 'Minimum grouped week bar_pnl converted to dollars.', 'profit_factor_by_closed_layer': 'Gross winner realized_pnl divided by absolute gross loser realized_pnl.', 'profit_factor_by_week': 'Gross positive weekly modeled pnl divided by absolute gross negative weekly modeled pnl.', 'weekly_occupancy_rate': 'Share of bars where price stayed inside the active butterfly corridor span.', 'avg_adjustments_per_week': 'ADD_ADJUSTMENT action count / weeks_traded.', 'weeks_traded': 'Distinct week_key count with DEPLOY_INITIAL actions.', 'weeks_aborted': 'Distinct week_key count with ABORT actions.', 'max_active_butterflies': 'Maximum concurrent active weekly butterflies observed in the equity curve.'}"
xxloose_w125_s100_h3-5_adj0,xxloose,125.0,100.0,450.0,0,3,5,0.12,0.03,0.022,0.008,SPX,30 mins,-4133.4,-413340.0,-4.1334,8266.8,-8266.8,-8266.8,0.0,0.0,0.0,0.0,50,12,3,150,0,150,"{'net_modeled_pnl': 'Final modeled weekly corridor equity in model points after friction.', 'net_dollar_pnl': 'net_modeled_pnl * option_multiplier * contracts_per_layer.', 'return_on_capital': 'net_dollar_pnl / starting_capital.', 'max_gross_deployment_dollars': 'Peak active layer entry cost sum converted to dollars.', 'worst_day_pnl_dollars': 'Minimum grouped daily bar_pnl converted to dollars.', 'worst_week_pnl_dollars': 'Minimum grouped week bar_pnl converted to dollars.', 'profit_factor_by_closed_layer': 'Gross winner realized_pnl divided by absolute gross loser realized_pnl.', 'profit_factor_by_week': 'Gross positive weekly modeled pnl divided by absolute gross negative weekly modeled pnl.', 'weekly_occupancy_rate': 'Share of bars where price stayed inside the active butterfly corridor span.', 'avg_adjustments_per_week': 'ADD_ADJUSTMENT action count / weeks_traded.', 'weeks_traded': 'Distinct week_key count with DEPLOY_INITIAL actions.', 'weeks_aborted': 'Distinct week_key count with ABORT actions.', 'max_active_butterflies': 'Maximum concurrent active weekly butterflies observed in the equity curve.'}"
xxloose_w125_s125_h3-5_adj0,xxloose,125.0,125.0,500.0,0,3,5,0.12,0.03,0.022,0.008,SPX,30 mins,-4133.4,-413340.0,-4.1334,8266.8,-8266.8,-8266.8,0.0,0.0,0.0,0.0,50,12,3,150,0,150,"{'net_modeled_pnl': 'Final modeled weekly corridor equity in model points after friction.', 'net_dollar_pnl': 'net_modeled_pnl * option_multiplier * contracts_per_layer.', 'return_on_capital': 'net_dollar_pnl / starting_capital.', 'max_gross_deployment_dollars': 'Peak active layer entry cost sum converted to dollars.', 'worst_day_pnl_dollars': 'Minimum grouped daily bar_pnl converted to dollars.', 'worst_week_pnl_dollars': 'Minimum grouped week bar_pnl converted to dollars.', 'profit_factor_by_closed_layer': 'Gross winner realized_pnl divided by absolute gross loser realized_pnl.', 'profit_factor_by_week': 'Gross positive weekly modeled pnl divided by absolute gross negative weekly modeled pnl.', 'weekly_occupancy_rate': 'Share of bars where price stayed inside the active butterfly corridor span.', 'avg_adjustments_per_week': 'ADD_ADJUSTMENT action count / weeks_traded.', 'weeks_traded': 'Distinct week_key count with DEPLOY_INITIAL actions.', 'weeks_aborted': 'Distinct week_key count with ABORT actions.', 'max_active_butterflies': 'Maximum concurrent active weekly butterflies observed in the equity curve.'}"
